source,target
75141,77231
75141,78714
75141,80992
75182,75183
75183,75187
75183,75188
75183,75270
75183,75271
75183,75273
75183,75277
75183,75278
75187,75188
75187,75270
75187,75273
75187,75277
75187,75278
75188,75277
75188,75278
75210,75309
75210,81010
75210,81033
75255,75328
75255,75329
75255,75330
75270,75271
75270,75273
75270,75278
75271,75273
75271,75278
75273,75277
75273,75278
75277,75278
75277,75455
75278,75455
75285,75537
75285,77232
75285,78785
75285,80055
75285,82689
75285,90392
75285,90571
75285,90962
75285,90997
75310,75311
75310,81031
75311,81031
75312,81010
75312,81033
75313,81010
75313,81018
75313,81033
75328,75329
75328,75330
75328,90389
75328,90632
75329,75330
75329,90389
75329,90632
75330,90389
75330,90632
75444,90384
75453,75702
75515,77194
75515,79357
75515,82442
75515,82443
75515,82444
75515,82445
75515,82446
75515,82447
75515,82448
75515,82449
75515,82450
75515,82451
75515,82452
75515,82453
75515,82454
75515,82455
75515,82456
75515,82458
75515,82459
75515,82460
75515,82461
75515,82462
75515,82463
75515,82464
75515,82465
75515,82467
75515,82468
75515,82469
75515,82471
75515,82472
75515,87639
75523,75740
75523,79993
75523,90718
75523,91022
75532,79075
75532,81707
75532,87520
75532,87626
75532,87653
75532,91017
75532,91260
75537,77232
75537,78785
75537,80055
75537,82689
75537,90392
75537,90571
75537,90962
75537,90997
75628,75739
75628,78790
75628,80951
75628,87403
75628,87503
75628,90161
75628,90950
75720,75738
75720,75759
75720,76448
75720,77273
75720,78503
75720,79719
75720,79749
75720,80027
75720,81000
75720,81001
75720,81002
75720,81851
75720,82624
75720,84273
75720,88052
75720,90134
75720,90204
75720,90455
75720,90559
75720,90560
75720,90637
75720,90641
75720,90642
75720,91027
75725,82294
75738,75759
75738,76448
75738,77273
75738,78503
75738,79719
75738,79749
75738,80027
75738,81000
75738,81001
75738,81002
75738,81851
75738,82624
75738,84273
75738,88052
75738,90134
75738,90204
75738,90455
75738,90559
75738,90560
75738,90637
75738,90641
75738,90642
75738,91027
75739,78790
75739,80951
75739,87403
75739,87503
75739,90161
75739,90950
75740,79993
75740,90718
75740,91022
75759,76448
75759,77273
75759,78503
75759,79719
75759,79749
75759,80027
75759,81000
75759,81001
75759,81002
75759,81851
75759,82624
75759,84273
75759,88052
75759,90134
75759,90204
75759,90455
75759,90559
75759,90560
75759,90637
75759,90641
75759,90642
75759,91027
